id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
736			8.952312	46.00651			Lugano TI, Lugano
741			-1.981231	43.318333			San Sebastian
743			54.2	32.4			Perse, Persien, Persia, Iran
744			45.079163	23.885942	Arabien	Arabie	Arabia, Penisola araba, Penisola arabica
745			-74.40566	40.058323			New Jersey
746			14.866883	55.160427			Bornholm
747							Venezia Giulia, Vénétie julienne
748			26.4	40.2			Dardanellen, Dardanelli, Dardanelles
750			14.995463	46.15124			Slovénie, Slowenien, Slovenia
751			-77.0639	38.914154			Dumbarton Oaks
753							Deutschland/Britische Besatzungszone, Allemagne/zone d'occupation britannique, Allemagne/zone d'occupation anglaise, Deutschland/Englische Besatzungszone, Deutschland/Englische Zone, Deutschland/Britische Zone, Allemagne/zone anglaise, Germania/Zona inglese, Germania/Zona d'occupazione inglese, Germania/Zona britannica, Germania/Zona d'occupazione britannica, Allemagne/zone britannique
755			23.321867	42.69771			Sofia
757			10.5	45.5			Italia del Nord, Oberitalien, Italie septentrionale, Norditalien, Italie du Nord
759			9.027022	45.834934			Chiasso
761			9.578026	46.656986	Graubünden (Kanton)	Grisons (Canton)	Grigioni (Cantone), GR
766			6.842431	46.46273			Vevey
768			14.015356	37.599995	Sizilien	Sicile	Sicilia
770			14.5	42			Lazio, Latium
771			7.515389	45.05224			Piemont, Piemonte, Piémont
773			7.791667	47.56111			Rheinfelden (Baden/Deutschland)
778			8.228524	48.76564			Baden-Baden
779			8.989843	49.469482			Manheim-Eberbach
780			6.960279	50.93753			Köln, Colonia, Cologne
781			6.345	45.276667			St.Maurienne, St-Jean-de-Maurienne
782			8.84	47.76278			Singen
783			-88.89653	13.794185			El Salvador, Salvador
784			-80.78213	8.537981			Panama
786			120.925	24.600277			Kueichung (China), Kueichung
788			138.72778	35.360554			Fuji (Mont), Fuji
789			114.233536	1.068237			Borneo, Bornéo, Kalimantan
791			114.272597	30.581179			Hankéou
796			105.85	21.033333			Hanoi, Hanoï
797			98.14379	20.44964			Tonchino, Tonkin, Tonking, Tongking
798			2.75459	50.445553			Cocincina, Cochinchina, Cochinchine
800			135.5	34.6667			Osaka
805			7.15	50.683334			Bad Godesberg, Bad-Godesberg
806			8.06	50.6			Allemagne de l'Ouest, Westdeutschland, Germania occidentale, RFA, BRD, République fédérale allemande, Bundesrepublik Deutschland, West-Deutschland, République fédérale d'Allemagne, Reppublica federale di Germania, République fédérale d'Allemagne, Allemagne occidentale
807			13.737262	51.050407			Dresden, Dresda, Dresde
808			9.05	48.53	Baden-Württemberg		Bade-Wurtemberg, Le, Baden-Württemberg (Bundesland, ab 1952), Württemberg-Baden (Bundesland, US-Zone, bis 1952)
809			8.241361	50.082083			Grosshessen
810			9.845077	52.636703			Niedersachsen (Bundesland), Bassa Sassonia, Basse-Saxe
811			9.732011	52.375893	Hannover	Hanovre	
812			9.993682	53.551086			Hamburg, Amburgo, Hambourg
813			10.52677	52.268875			Braunschweig
814			7.555	51.478333			Westfalie, Westfalia, Westfalen
815			9.696116	54.219368			Schleswig-Holstein (Bundesland)
816			7.588996	50.35694			Coblenza, Koblenz, Coblence
817			6.637143	49.749992			Trier, Treviri, Trèves
818			7.97	50.06			Pays rhénans, Renania, Rheinland, Rhénanie
819			7.441624	48.31818			Elsass, Alsazia, Alsace
820			6.208093	48.874424			Lothringen, Lorena, Lorraine
821			101.7	3.1667			Kuala Lumpur
822			101.97577	4.210484	Malaysia	Malaisie	Malesia, Malésie
823			4.290134	45.114697			Tence (France)
824			32.301865	31.26529			Porto Said, Port Said, Port-Said
825			-78.92475	50.147797			Mille (Ile)
827			135.75	35			Kyoto
829			8.946256	44.40565	Genua	Gênes	Genova
830			8.4645	44.29756			Savone, Savona
835			2.130122	48.801407			Versailles
840			9.186389	45.4625			Mailand, Milano, Milan
841			7.6667	45.05			Torino, Turin
842			12.315516	45.44085			Venezia, Venedig, Venise
844			8.89492	52.296494			Minden
852			38.75776	8.980603	Addis Abeba		Addis-Abeba
854			35.6	32.1			Naher Osten, Vicino Oriente, Vorderer Orient, Proche-Orient, Nahost
855			-70.01389	-15.821989			Mittlerer Osten, Medio Oriente, Moyen-Orient, Mittelosten, Middle East, Mittlerer Orient
857			-83.753426	9.748917			Costa Rica
862			11.581981	48.135124	München	Munich	Monaco (di Baviera)
865			139.645578	35.862185			Urawa
866			139.64885	35.857			Saitama (Präfektur), Saitama (Prefettura), Saitama (Préfecture)
871			144.9667	-37.816			Melbourne
872			140.433333	-34.283333			Loveday
873			138.6	-34.9333			Adelaide
874			147.03609	-37.69484			Woolenook
875			142.70279	-20.917574			Queensland
876			132.55096	-19.491411			Territoire du Nord (Australie), Territori del Nord (Australia), Northern Territory (Australia)
877							British Mandated Islands
878			167	-16			New Hebrides, Nuove Ebridi, Nouvelles Hébrides
879			121.62831	-27.672817	Westaustralien	Australie occidentale	Western Australia, Australia occidentale
880			165.61804	-20.904305			Neukaledonien, Nuova Caledonia, Nouvelle Calédonie, New Caledonia
881			160.15619	-9.64571	Salomoninseln	Iles Salomon	Solomon Islands, Salomone (Isole), Isole Salomone
882			101.34311	-0.589724			Sumatra
883			110.71225	-7.614529			Giava, Java, Jawa
884			120.52791	-1.847908			Celebes, Sulawesi, Célèbes
885			129.38333	-3.15	Molukken	Les Moluques	Molucche, Moluccas Island
